Title,Faction,RequestedResources,RequestedAmount,Reward,RewardAmount,TimeLimit,Dialogue,Consequences,ConsequencesAmount,Completed,Repeatable,LocationType,Unlockables,,,,,,,,,,,,,,,
Emergency Food Shipment,Groundmeats,Food,40,Gold,80,480,Our stores are running dangerously low. Get this food here before the workers go hungry.,Unrest,5,FALSE,TRUE,Settlement,None,,,,,,,,,,,,,,,
Medical Supplies Needed,Groundmeats,Medicine,20,Gold,100,360,The clinic has almost nothing left. People are waiting for medicine we cannot provide.,Unrest,8,FALSE,TRUE,Hospital,None,,,,,,,,,,,,,,,
Repair Parts,Groundmeats,Machinery,15,Gold,120,600,The pumps have broken down again. Bring us machinery before the whole district loses its water supply.,Unrest,10,FALSE,FALSE,Industrial,Waterworks,,,,,,,,,,,,,,,
Fuel for the Generators,Groundmeats,Fuel,30,Gold,90,420,The generators are our only source of power tonight. We need fuel immediately.,Unrest,7,FALSE,TRUE,Settlement,None,,,,,,,,,,,,,,,
Armed Resistance,Groundmeats,Weapons,10,Gold,150,540,We cannot keep defending ourselves with scraps. Send weapons before the patrol returns.,Unrest,12,FALSE,FALSE,Military,Resistance,,,,,,,,,,,,,,,
Ration Distribution,Groundmeats,Food,60,Medicine,10,720,"We have enough hands to distribute the rations, but not enough food to fill them.",Unrest,8,FALSE,TRUE,Settlement,None,,,,,,,,,,,,,,,
Hospital Generator,Groundmeats,Fuel,20,Gold,110,360,"The hospital generator is failing. Without fuel, the patients will be left without power.",Unrest,10,FALSE,FALSE,Hospital,Emergency Care,,,,,,,,,,,,,,,
Factory Repairs,Cirri,Machinery,25,Gold,200,600,Production has slowed to an unacceptable level. Send machinery and restore the factory immediately.,Pollution,6,FALSE,TRUE,Industrial,None,,,,,,,,,,,,,,,
Private Fuel Reserve,Cirri,Fuel,50,Gold,180,480,Our private reserves are running low. We expect priority delivery before the next departure.,Pollution,5,FALSE,TRUE,ResourceDepot,None,,,,,,,,,,,,,,,
Luxury Food Order,Cirri,Food,35,Gold,160,420,The kitchens are preparing for an important gathering. Do not disappoint our guests.,Pollution,4,FALSE,TRUE,Settlement,None,,,,,,,,,,,,,,,
Medical Treatment,Cirri,Medicine,15,Gold,220,300,The upper district cannot afford another outbreak. Deliver these medical supplies immediately.,Pollution,8,FALSE,FALSE,Hospital,Quarantine,,,,,,,,,,,,,,,
Security Shipment,Cirri,Weapons,20,Gold,250,540,There have been disturbances below the city. Our security forces require additional weapons.,Unrest,15,FALSE,FALSE,Military,Security,,,,,,,,,,,,,,,
Airship Maintenance,Cirri,Machinery,30,Fuel,25,720,Our transport fleet cannot remain grounded. Deliver the machinery needed for repairs.,Pollution,7,FALSE,TRUE,Industrial,Air Fleet,,,,,,,,,,,,,,,
Emergency Rations,Cirri,Food,45,Gold,140,360,A shortage has reached the upper district. Deliver the requested rations before supplies become scarce.,Pollution,6,FALSE,TRUE,ResourceDepot,None,,,,,,,,,,,,,,,
Generator Failure,Cirri,Machinery,10,Fuel,15,300,One of the district generators has failed. We require replacement machinery immediately.,Pollution,5,FALSE,TRUE,Industrial,None,,,,,,,,,,,,,,,
Guard Reinforcements,Cirri,Weapons,15,Gold,180,480,Tensions below the city are increasing. Our guards need more equipment.,Unrest,10,FALSE,TRUE,Military,None,,,,,,,,,,,,,,,
Aid Convoy,Groundmeats,Food,50,Gold,130,600,Several settlements have combined their remaining supplies. We need your ship to distribute them.,Unrest,12,FALSE,FALSE,Settlement,Aid Network,,,,,,,,,,,,,,,
Disease Outbreak,Groundmeats,Medicine,30,Gold,180,420,Something is spreading through the district. The clinic needs medicine before the outbreak worsens.,Disease,10,FALSE,FALSE,Hospital,Disease Research,,,,,,,,,,,,,,,
Machine Shortage,Groundmeats,Machinery,20,Food,30,540,"Without these parts, the local workshops will stop producing essential goods.",Unrest,9,FALSE,TRUE,Industrial,None,,,,,,,,,,,,,,,
Fuel Crisis,Groundmeats,Fuel,40,Gold,160,480,Fuel shipments have stopped arriving. Every generator in the district is being rationed.,Unrest,12,FALSE,FALSE,ResourceDepot,Fuel Network,,,,,,,,,,,,,,,
Black Market Shipment,Groundmeats,Weapons,8,Gold,200,360,Don't ask where these are going. Just make sure they arrive before the patrols notice.,Unrest,15,FALSE,FALSE,Military,Black Market,,,,,,,,,,,,,,,
Executive Banquet,Cirri,Food,70,Gold,300,720,The banquet cannot proceed without the requested provisions. Ensure the delivery arrives on schedule.,Pollution,8,FALSE,TRUE,Settlement,None,,,,,,,,,,,,,,,
Private Clinic,Cirri,Medicine,25,Gold,280,360,Our physicians have been instructed to maintain a private reserve. Deliver the medicine without delay.,Pollution,7,FALSE,TRUE,Hospital,Private Healthcare,,,,,,,,,,,,,,,
Factory Expansion,Cirri,Machinery,40,Gold,350,720,The factory is expanding again. More machinery means greater production and greater profit.,Pollution,12,FALSE,FALSE,Industrial,Factory Expansion,,,,,,,,,,,,,,,
Airship Fuel,Cirri,Fuel,60,Gold,300,600,Several airships are waiting to depart. Deliver fuel before the fleet falls behind schedule.,Pollution,10,FALSE,TRUE,ResourceDepot,Airship Network,,,,,,,,,,,,,,,
Weapons Contract,Cirri,Weapons,30,Gold,400,540,Security has approved a new weapons contract. Deliver the shipment discreetly.,Unrest,20,FALSE,FALSE,Military,Armaments,,,,,,,,,,,,,,,
Balanced Supplies,Groundmeats,Food,30,Medicine,15,600,The settlement needs both food and medical supplies. We will accept whatever help you can provide.,Unrest,6,FALSE,TRUE,Settlement,None,,,,,,,,,,,,,,,
Workshop Emergency,Groundmeats,Machinery,12,Fuel,20,420,The workshop is almost completely shut down. Bring the parts and we'll get production moving again.,Unrest,7,FALSE,TRUE,Industrial,None,,,,,,,,,,,,,,,
Last Defence,Groundmeats,Weapons,12,Food,40,480,"Something is coming. We need weapons now, and we'll trade our remaining food to get them.",Unrest,18,FALSE,FALSE,Military,Last Stand,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
